year,imm
2003,99
2003,94
2003,79
2003,67
2003,90
2003,99
2003,76
2003,90
2003,99
2003,82
2003,96
2003,65
2003,88
2003,96
2003,84
2003,92
2003,98
2003,96
2003,76
2003,76
2003,90
2003,65
2003,61
2003,95
2003,49
2003,23
2003,96
2003,93
2003,67
2003,49
2003,50
2003,89
2003,70
2003,95
2003,99
2003,86
2003,97
2003,96
2003,66
2003,99
2003,83
2003,99
2003,98
2003,90
2003,51
2003,92
2003,95
2003,93
2003,35
2003,86
2003,97
2003,55
2003,90
2003,76
2003,80
2003,94
2003,99
2003,94
2003,48
2003,74
2003,89
2003,57
2003,94
2003,99
2003,93
2003,99
2003,73
2003,78
2003,96
2003,78
2003,96
2003,99
2003,72
2003,72
2003,95
2003,97
2003,99
2003,42
2003,98
2003,53
2003,85
2003,47
2003,96
2003,98
2003,95
2003,65
2003,77
2003,93
2003,96
2003,57
2003,90
2003,90
2003,84
2003,91
2003,91
2003,96
2003,96
2003,98
2003,90
2003,80
2003,80
2003,70
2003,53
2003,75
2003,84
2003,93
2003,43
2003,34
2003,96
2003,86
2003,98
2003,62
2003,99
2003,95
2003,77
2003,91
2003,95
2003,87
2003,97
2003,96
2003,93
2003,97
2003,90
2003,62
2003,94
2003,87
2003,60
2003,87
2003,99
2003,73
2003,93
2003,99
2003,94
2003,82
2003,40
2003,62
2003,99
2003,98
2003,90
2003,94
2003,65
2003,69
2003,95
2003,83
2003,91
2003,97
2003,96
2003,55
2003,68
2003,93
2003,88
2003,90
2003,97
2003,95
2003,64
2003,99
2003,94
2003,95
2003,99
2003,56
2003,83
2003,93
2003,64
2003,84
2003,68
2004,99
2004,94
2004,97
2004,86
2004,88
2004,96
2004,64
2004,76
2004,86
2004,98
2004,99
2004,96
2004,96
2004,98
2004,97
2004,97
2004,82
2004,81
2004,81
2004,93
2004,48
2004,96
2004,81
2004,98
2004,50
2004,97
2004,92
2004,74
2004,67
2004,89
2004,99
2004,81
2004,98
2004,99
2004,82
2004,97
2004,63
2004,87
2004,90
2004,88
2004,93
2004,99
2004,95
2004,78
2004,78
2004,91
2004,80
2004,64
2004,94
2004,55
2004,16
2004,94
2004,94
2004,76
2004,57
2004,65
2004,88
2004,78
2004,96
2004,99
2004,86
2004,97
2004,96
2004,60
2004,99
2004,81
2004,99
2004,97
2004,93
2004,51
2004,96
2004,96
2004,93
2004,35
2004,88
2004,97
2004,55
2004,92
2004,86
2004,83
2004,95
2004,74
2004,95
2004,50
2004,75
2004,88
2004,57
2004,91
2004,99
2004,93
2004,96
2004,69
2004,81
2004,97
